Flag   |SlotID |FighterID  |CSSSlotID  |CosmeticID |Internal Name   |Fighter Name
       |0x5A   |0x5A       |0x5A       |0x5A       |exfighter5A     |ExFighter0x5A
       |0x5B   |0x5B       |0x5B       |0x5B       |exfighter5B     |ExFighter0x5B
       |0x5C   |0x5C       |0x5C       |0x5C       |exfighter5C     |ExFighter0x5C
       |0x5D   |0x5D       |0x5D       |0x5D       |exfighter5D     |ExFighter0x5D
       |0x5E   |0x5E       |0x5E       |0x5E       |exfighter5E     |ExFighter0x5E
       |0x5F   |0x5F       |0x5F       |0x5F       |exfighter5F     |ExFighter0x5F
       |0x60   |0x60       |0x60       |0x60       |exfighter60     |ExFighter0x60
       |0x61   |0x61       |0x61       |0x61       |exfighter61     |ExFighter0x61
       |0x62   |0x62       |0x62       |0x62       |exfighter62     |ExFighter0x62
       |0x63   |0x63       |0x63       |0x63       |exfighter63     |ExFighter0x63
       |0x64   |0x64       |0x64       |0x64       |exfighter64     |ExFighter0x64
       |0x65   |0x65       |0x65       |0x65       |exfighter65     |ExFighter0x65
       |0x66   |0x66       |0x66       |0x66       |exfighter66     |ExFighter0x66
       |0x67   |0x67       |0x67       |0x67       |exfighter67     |ExFighter0x67
       |0x68   |0x68       |0x68       |0x68       |exfighter68     |ExFighter0x68
       |0x69   |0x69       |0x69       |0x69       |exfighter69     |ExFighter0x69
       |0x6A   |0x6A       |0x6A       |0x6A       |exfighter6A     |ExFighter0x6A
       |0x6B   |0x6B       |0x6B       |0x6B       |exfighter6B     |ExFighter0x6B
       |0x6C   |0x6C       |0x6C       |0x6C       |exfighter6C     |ExFighter0x6C
       |0x6D   |0x6D       |0x6D       |0x6D       |exfighter6D     |ExFighter0x6D
       |0x6E   |0x6E       |0x6E       |0x6E       |exfighter6E     |ExFighter0x6E
       |0x6F   |0x6F       |0x6F       |0x6F       |exfighter6F     |ExFighter0x6F
       |0x70   |0x70       |0x70       |0x70       |exfighter70     |ExFighter0x70
       |0x71   |0x71       |0x71       |0x71       |exfighter71     |ExFighter0x71
       |0x72   |0x72       |0x72       |0x72       |exfighter72     |ExFighter0x72
       |0x73   |0x73       |0x73       |0x73       |exfighter73     |ExFighter0x73
       |0x74   |0x74       |0x74       |0x74       |exfighter74     |ExFighter0x74
       |0x75   |0x75       |0x75       |0x75       |exfighter75     |ExFighter0x75
       |0x76   |0x76       |0x76       |0x76       |exfighter76     |ExFighter0x76
       |0x77   |0x77       |0x77       |0x77       |exfighter77     |ExFighter0x77
       |0x78   |0x78       |0x78       |0x78       |exfighter78     |ExFighter0x78
       |0x79   |0x79       |0x79       |0x79       |exfighter79     |ExFighter0x79
       |0x7A   |0x7A       |0x7A       |0x7A       |exfighter7A     |ExFighter0x7A
       |0x7B   |0x7B       |0x7B       |0x7B       |exfighter7B     |ExFighter0x7B
       |0x7C   |0x7C       |0x7C       |0x7C       |exfighter7C     |ExFighter0x7C
       |0x7D   |0x7D       |0x7D       |0x7D       |exfighter7D     |ExFighter0x7D
       |0x7E   |0x7E       |0x7E       |0x7E       |exfighter7E     |ExFighter0x7E
       |0x7F   |0x7F       |0x7F       |0x7F       |exfighter7F     |ExFighter0x7F
